iterations, time, cart::mass_pendulum[REAL], cart::mass_cart[REAL], cart::velocity[REAL], cart::position[REAL], cart::acceleration[REAL], cart::force[REAL], cart::force_pendulum[REAL], pendulum::cart_acceleration[REAL], pendulum::force[REAL], pendulum::length_pendulum[REAL], pendulum::angle[REAL], pendulum::mass_pendulum[REAL], pendulum::angular_velocity[REAL], controller::angle[REAL], controller::angular_velocity[REAL], controller::cart_velocity[REAL], controller::cart_position[REAL], controller::force[REAL]
4109, 41.09, 0.100000, 1.000000, 0.001463, 0.104426, 0.003084, 0.000384, 0.002809, 0.003084, 0.002809, 1.000000, 3.139105, 0.100000, 0.004280, 3.139105, 0.004280, 0.001463, 0.104426, 0.000384
4110, 41.1, 0.100000, 1.000000, 0.001492, 0.104441, 0.002903, 0.000241, 0.002749, 0.002903, 0.002749, 1.000000, 3.139150, 0.100000, 0.004555, 3.139150, 0.004555, 0.001492, 0.104441, 0.000241
4111, 41.11, 0.100000, 1.000000, 0.001519, 0.104456, 0.002719, 0.000099, 0.002686, 0.002719, 0.002686, 1.000000, 3.139199, 0.100000, 0.004823, 3.139199, 0.004823, 0.001519, 0.104456, 0.000099
4112, 41.12, 0.100000, 1.000000, 0.001545, 0.104472, 0.002532, -0.000043, 0.002620, 0.002532, 0.002620, 1.000000, 3.139249, 0.100000, 0.005085, 3.139249, 0.005085, 0.001545, 0.104472, -0.000043
4113, 41.13, 0.100000, 1.000000, 0.001568, 0.104488, 0.002343, -0.000185, 0.002552, 0.002343, 0.002552, 1.000000, 3.139303, 0.100000, 0.005340, 3.139303, 0.005340, 0.001568, 0.104488, -0.000185
4114, 41.14, 0.100000, 1.000000, 0.001590, 0.104503, 0.002152, -0.000326, 0.002481, 0.002152, 0.002481, 1.000000, 3.139359, 0.100000, 0.005588, 3.139359, 0.005588, 0.001590, 0.104503, -0.000326
4115, 41.15, 0.100000, 1.000000, 0.001609, 0.104520, 0.001959, -0.000466, 0.002407, 0.001959, 0.002407, 1.000000, 3.139417, 0.100000, 0.005829, 3.139417, 0.005829, 0.001609, 0.104520, -0.000466
4116, 41.16, 0.100000, 1.000000, 0.001627, 0.104536, 0.001764, -0.000605, 0.002330, 0.001764, 0.002330, 1.000000, 3.139478, 0.100000, 0.006062, 3.139478, 0.006062, 0.001627, 0.104536, -0.000605
4117, 41.17, 0.100000, 1.000000, 0.001643, 0.104552, 0.001568, -0.000743, 0.002251, 0.001568, 0.002251, 1.000000, 3.139541, 0.100000, 0.006287, 3.139541, 0.006287, 0.001643, 0.104552, -0.000743
4118, 41.18, 0.100000, 1.000000, 0.001656, 0.104569, 0.001371, -0.000879, 0.002170, 0.001371, 0.002170, 1.000000, 3.139606, 0.100000, 0.006504, 3.139606, 0.006504, 0.001656, 0.104569, -0.000879
4119, 41.19, 0.100000, 1.000000, 0.001668, 0.104586, 0.001173, -0.001014, 0.002086, 0.001173, 0.002086, 1.000000, 3.139673, 0.100000, 0.006713, 3.139673, 0.006713, 0.001668, 0.104586, -0.001014
4120, 41.2, 0.100000, 1.000000, 0.001678, 0.104602, 0.000975, -0.001148, 0.002001, 0.000975, 0.002001, 1.000000, 3.139742, 0.100000, 0.006913, 3.139742, 0.006913, 0.001678, 0.104602, -0.001148
4121, 41.21, 0.100000, 1.000000, 0.001686, 0.104619, 0.000775, -0.001279, 0.001913, 0.000775, 0.001913, 1.000000, 3.139813, 0.100000, 0.007104, 3.139813, 0.007104, 0.001686, 0.104619, -0.001279
4122, 41.22, 0.100000, 1.000000, 0.001691, 0.104636, 0.000576, -0.001409, 0.001824, 0.000576, 0.001824, 1.000000, 3.139886, 0.100000, 0.007287, 3.139886, 0.007287, 0.001691, 0.104636, -0.001409
4123, 41.23, 0.100000, 1.000000, 0.001695, 0.104653, 0.000377, -0.001536, 0.001732, 0.000377, 0.001732, 1.000000, 3.139960, 0.100000, 0.007460, 3.139960, 0.007460, 0.001695, 0.104653, -0.001536
4124, 41.24, 0.100000, 1.000000, 0.001697, 0.104670, 0.000178, -0.001661, 0.001639, 0.000178, 0.001639, 1.000000, 3.140037, 0.100000, 0.007624, 3.140037, 0.007624, 0.001697, 0.104670, -0.001661
4125, 41.25, 0.100000, 1.000000, 0.001697, 0.104687, -0.000020, -0.001784, 0.001544, -0.000020, 0.001544, 1.000000, 3.140114, 0.100000, 0.007778, 3.140114, 0.007778, 0.001697, 0.104687, -0.001784
4126, 41.26, 0.100000, 1.000000, 0.001694, 0.104704, -0.000218, -0.001905, 0.001448, -0.000218, 0.001448, 1.000000, 3.140194, 0.100000, 0.007923, 3.140194, 0.007923, 0.001694, 0.104704, -0.001905
4127, 41.27, 0.100000, 1.000000, 0.001690, 0.104721, -0.000415, -0.002022, 0.001351, -0.000415, 0.001351, 1.000000, 3.140274, 0.100000, 0.008058, 3.140274, 0.008058, 0.001690, 0.104721, -0.002022
4128, 41.28, 0.100000, 1.000000, 0.001684, 0.104738, -0.000611, -0.002137, 0.001252, -0.000611, 0.001252, 1.000000, 3.140356, 0.100000, 0.008183, 3.140356, 0.008183, 0.001684, 0.104738, -0.002137
4129, 41.29, 0.100000, 1.000000, 0.001676, 0.104754, -0.000805, -0.002249, 0.001152, -0.000805, 0.001152, 1.000000, 3.140439, 0.100000, 0.008298, 3.140439, 0.008298, 0.001676, 0.104754, -0.002249
4130, 41.3, 0.100000, 1.000000, 0.001666, 0.104771, -0.000997, -0.002358, 0.001051, -0.000997, 0.001051, 1.000000, 3.140523, 0.100000, 0.008404, 3.140523, 0.008404, 0.001666, 0.104771, -0.002358
4131, 41.31, 0.100000, 1.000000, 0.001654, 0.104788, -0.001188, -0.002464, 0.000950, -0.001188, 0.000950, 1.000000, 3.140608, 0.100000, 0.008499, 3.140608, 0.008499, 0.001654, 0.104788, -0.002464
4132, 41.32, 0.100000, 1.000000, 0.001641, 0.104804, -0.001377, -0.002567, 0.000847, -0.001377, 0.000847, 1.000000, 3.140694, 0.100000, 0.008583, 3.140694, 0.008583, 0.001641, 0.104804, -0.002567
4133, 41.33, 0.100000, 1.000000, 0.001625, 0.104820, -0.001563, -0.002666, 0.000744, -0.001563, 0.000744, 1.000000, 3.140780, 0.100000, 0.008658, 3.140780, 0.008658, 0.001625, 0.104820, -0.002666
4134, 41.34, 0.100000, 1.000000, 0.001607, 0.104836, -0.001747, -0.002762, 0.000641, -0.001747, 0.000641, 1.000000, 3.140868, 0.100000, 0.008722, 3.140868, 0.008722, 0.001607, 0.104836, -0.002762
4135, 41.35, 0.100000, 1.000000, 0.001588, 0.104852, -0.001928, -0.002854, 0.000537, -0.001928, 0.000537, 1.000000, 3.140955, 0.100000, 0.008775, 3.140955, 0.008775, 0.001588, 0.104852, -0.002854
4136, 41.36, 0.100000, 1.000000, 0.001567, 0.104868, -0.002107, -0.002942, 0.000432, -0.002107, 0.000432, 1.000000, 3.141044, 0.100000, 0.008819, 3.141044, 0.008819, 0.001567, 0.104868, -0.002942
4137, 41.37, 0.100000, 1.000000, 0.001544, 0.104883, -0.002282, -0.003027, 0.000328, -0.002282, 0.000328, 1.000000, 3.141132, 0.100000, 0.008851, 3.141132, 0.008851, 0.001544, 0.104883, -0.003027
4138, 41.38, 0.100000, 1.000000, 0.001520, 0.104899, -0.002454, -0.003108, 0.000224, -0.002454, 0.000224, 1.000000, 3.141221, 0.100000, 0.008874, 3.141221, 0.008874, 0.001520, 0.104899, -0.003108
4139, 41.39, 0.100000, 1.000000, 0.001494, 0.104913, -0.002622, -0.003185, 0.000119, -0.002622, 0.000119, 1.000000, 3.141310, 0.100000, 0.008886, 3.141310, 0.008886, 0.001494, 0.104913, -0.003185
4140, 41.4, 0.100000, 1.000000, 0.001466, 0.104928, -0.002787, -0.003258, 0.000015, -0.002787, 0.000015, 1.000000, 3.141399, 0.100000, 0.008887, 3.141399, 0.008887, 0.001466, 0.104928, -0.003258
4141, 41.41, 0.100000, 1.000000, 0.001436, 0.104942, -0.002948, -0.003327, -0.000088, -0.002948, -0.000088, 1.000000, 3.141487, 0.100000, 0.008878, 3.141487, 0.008878, 0.001436, 0.104942, -0.003327
4142, 41.42, 0.100000, 1.000000, 0.001405, 0.104957, -0.003105, -0.003392, -0.000191, -0.003105, -0.000191, 1.000000, 3.141576, 0.100000, 0.008859, 3.141576, 0.008859, 0.001405, 0.104957, -0.003392
4143, 41.43, 0.100000, 1.000000, 0.001373, 0.104970, -0.003258, -0.003453, -0.000294, -0.003258, -0.000294, 1.000000, 3.141664, 0.100000, 0.008830, 3.141664, 0.008830, 0.001373, 0.104970, -0.003453
4144, 41.44, 0.100000, 1.000000, 0.001338, 0.104984, -0.003406, -0.003510, -0.000396, -0.003406, -0.000396, 1.000000, 3.141752, 0.100000, 0.008790, 3.141752, 0.008790, 0.001338, 0.104984, -0.003510
4145, 41.45, 0.100000, 1.000000, 0.001303, 0.104997, -0.003550, -0.003562, -0.000497, -0.003550, -0.000497, 1.000000, 3.141840, 0.100000, 0.008741, 3.141840, 0.008741, 0.001303, 0.104997, -0.003562
4146, 41.46, 0.100000, 1.000000, 0.001266, 0.105009, -0.003690, -0.003610, -0.000597, -0.003690, -0.000597, 1.000000, 3.141926, 0.100000, 0.008681, 3.141926, 0.008681, 0.001266, 0.105009, -0.003610
4147, 41.47, 0.100000, 1.000000, 0.001228, 0.105022, -0.003824, -0.003653, -0.000696, -0.003824, -0.000696, 1.000000, 3.142012, 0.100000, 0.008611, 3.142012, 0.008611, 0.001228, 0.105022, -0.003653
4148, 41.48, 0.100000, 1.000000, 0.001188, 0.105034, -0.003954, -0.003692, -0.000794, -0.003954, -0.000794, 1.000000, 3.142098, 0.100000, 0.008532, 3.142098, 0.008532, 0.001188, 0.105034, -0.003692
4149, 41.49, 0.100000, 1.000000, 0.001148, 0.105045, -0.004079, -0.003727, -0.000891, -0.004079, -0.000891, 1.000000, 3.142182, 0.100000, 0.008443, 3.142182, 0.008443, 0.001148, 0.105045, -0.003727
4150, 41.5, 0.100000, 1.000000, 0.001106, 0.105056, -0.004198, -0.003757, -0.000986, -0.004198, -0.000986, 1.000000, 3.142266, 0.100000, 0.008344, 3.142266, 0.008344, 0.001106, 0.105056, -0.003757
4151, 41.51, 0.100000, 1.000000, 0.001062, 0.105067, -0.004312, -0.003783, -0.001080, -0.004312, -0.001080, 1.000000, 3.142348, 0.100000, 0.008236, 3.142348, 0.008236, 0.001062, 0.105067, -0.003783
4152, 41.52, 0.100000, 1.000000, 0.001018, 0.105077, -0.004421, -0.003804, -0.001172, -0.004421, -0.001172, 1.000000, 3.142429, 0.100000, 0.008119, 3.142429, 0.008119, 0.001018, 0.105077, -0.003804
4153, 41.53, 0.100000, 1.000000, 0.000973, 0.105087, -0.004524, -0.003820, -0.001263, -0.004524, -0.001263, 1.000000, 3.142509, 0.100000, 0.007993, 3.142509, 0.007993, 0.000973, 0.105087, -0.003820
4154, 41.54, 0.100000, 1.000000, 0.000927, 0.105096, -0.004621, -0.003833, -0.001351, -0.004621, -0.001351, 1.000000, 3.142588, 0.100000, 0.007857, 3.142588, 0.007857, 0.000927, 0.105096, -0.003833
4155, 41.55, 0.100000, 1.000000, 0.000880, 0.105105, -0.004713, -0.003840, -0.001438, -0.004713, -0.001438, 1.000000, 3.142665, 0.100000, 0.007714, 3.142665, 0.007714, 0.000880, 0.105105, -0.003840
4156, 41.56, 0.100000, 1.000000, 0.000832, 0.105113, -0.004799, -0.003843, -0.001523, -0.004799, -0.001523, 1.000000, 3.142740, 0.100000, 0.007561, 3.142740, 0.007561, 0.000832, 0.105113, -0.003843
4157, 41.57, 0.100000, 1.000000, 0.000783, 0.105121, -0.004879, -0.003842, -0.001606, -0.004879, -0.001606, 1.000000, 3.142814, 0.100000, 0.007401, 3.142814, 0.007401, 0.000783, 0.105121, -0.003842
4158, 41.58, 0.100000, 1.000000, 0.000733, 0.105128, -0.004953, -0.003836, -0.001686, -0.004953, -0.001686, 1.000000, 3.142887, 0.100000, 0.007232, 3.142887, 0.007232, 0.000733, 0.105128, -0.003836
4159, 41.59, 0.100000, 1.000000, 0.000683, 0.105135, -0.005020, -0.003826, -0.001765, -0.005020, -0.001765, 1.000000, 3.142957, 0.100000, 0.007056, 3.142957, 0.007056, 0.000683, 0.105135, -0.003826
4160, 41.6, 0.100000, 1.000000, 0.000632, 0.105141, -0.005082, -0.003811, -0.001841, -0.005082, -0.001841, 1.000000, 3.143026, 0.100000, 0.006871, 3.143026, 0.006871, 0.000632, 0.105141, -0.003811
4161, 41.61, 0.100000, 1.000000, 0.000581, 0.105147, -0.005138, -0.003792, -0.001914, -0.005138, -0.001914, 1.000000, 3.143093, 0.100000, 0.006680, 3.143093, 0.006680, 0.000581, 0.105147, -0.003792
4162, 41.62, 0.100000, 1.000000, 0.000529, 0.105152, -0.005188, -0.003769, -0.001985, -0.005188, -0.001985, 1.000000, 3.143158, 0.100000, 0.006482, 3.143158, 0.006482, 0.000529, 0.105152, -0.003769
4163, 41.63, 0.100000, 1.000000, 0.000477, 0.105157, -0.005231, -0.003741, -0.002054, -0.005231, -0.002054, 1.000000, 3.143220, 0.100000, 0.006276, 3.143220, 0.006276, 0.000477, 0.105157, -0.003741
4164, 41.64, 0.100000, 1.000000, 0.000424, 0.105161, -0.005268, -0.003709, -0.002120, -0.005268, -0.002120, 1.000000, 3.143281, 0.100000, 0.006064, 3.143281, 0.006064, 0.000424, 0.105161, -0.003709
4165, 41.65, 0.100000, 1.000000, 0.000371, 0.105165, -0.005299, -0.003673, -0.002183, -0.005299, -0.002183, 1.000000, 3.143340, 0.100000, 0.005846, 3.143340, 0.005846, 0.000371, 0.105165, -0.003673
4166, 41.66, 0.100000, 1.000000, 0.000318, 0.105168, -0.005323, -0.003632, -0.002244, -0.005323, -0.002244, 1.000000, 3.143396, 0.100000, 0.005621, 3.143396, 0.005621, 0.000318, 0.105168, -0.003632
4167, 41.67, 0.100000, 1.000000, 0.000264, 0.105171, -0.005342, -0.003588, -0.002301, -0.005342, -0.002301, 1.000000, 3.143450, 0.100000, 0.005391, 3.143450, 0.005391, 0.000264, 0.105171, -0.003588
4168, 41.68, 0.100000, 1.000000, 0.000211, 0.105173, -0.005353, -0.003539, -0.002356, -0.005353, -0.002356, 1.000000, 3.143501, 0.100000, 0.005156, 3.143501, 0.005156, 0.000211, 0.105173, -0.003539
4169, 41.69, 0.100000, 1.000000, 0.000157, 0.105175, -0.005359, -0.003487, -0.002408, -0.005359, -0.002408, 1.000000, 3.143550, 0.100000, 0.004915, 3.143550, 0.004915, 0.000157, 0.105175, -0.003487
4170, 41.7, 0.100000, 1.000000, 0.000104, 0.105176, -0.005358, -0.003430, -0.002456, -0.005358, -0.002456, 1.000000, 3.143597, 0.100000, 0.004669, 3.143597, 0.004669, 0.000104, 0.105176, -0.003430
4171, 41.71, 0.100000, 1.000000, 0.000050, 0.105176, -0.005352, -0.003370, -0.002502, -0.005352, -0.002502, 1.000000, 3.143641, 0.100000, 0.004419, 3.143641, 0.004419, 0.000050, 0.105176, -0.003370
4172, 41.72, 0.100000, 1.000000, -0.000003, 0.105176, -0.005338, -0.003306, -0.002545, -0.005338, -0.002545, 1.000000, 3.143683, 0.100000, 0.004165, 3.143683, 0.004165, -0.000003, 0.105176, -0.003306
4173, 41.73, 0.100000, 1.000000, -0.000056, 0.105176, -0.005319, -0.003239, -0.002584, -0.005319, -0.002584, 1.000000, 3.143722, 0.100000, 0.003906, 3.143722, 0.003906, -0.000056, 0.105176, -0.003239
4174, 41.74, 0.100000, 1.000000, -0.000109, 0.105174, -0.005294, -0.003168, -0.002621, -0.005294, -0.002621, 1.000000, 3.143758, 0.100000, 0.003644, 3.143758, 0.003644, -0.000109, 0.105174, -0.003168
4175, 41.75, 0.100000, 1.000000, -0.000162, 0.105173, -0.005262, -0.003093, -0.002654, -0.005262, -0.002654, 1.000000, 3.143792, 0.100000, 0.003379, 3.143792, 0.003379, -0.000162, 0.105173, -0.003093
4176, 41.76, 0.100000, 1.000000, -0.000214, 0.105171, -0.005225, -0.003016, -0.002684, -0.005225, -0.002684, 1.000000, 3.143823, 0.100000, 0.003110, 3.143823, 0.003110, -0.000214, 0.105171, -0.003016
4177, 41.77, 0.100000, 1.000000, -0.000266, 0.105168, -0.005181, -0.002934, -0.002711, -0.005181, -0.002711, 1.000000, 3.143852, 0.100000, 0.002839, 3.143852, 0.002839, -0.000266, 0.105168, -0.002934
4178, 41.78, 0.100000, 1.000000, -0.000317, 0.105165, -0.005132, -0.002850, -0.002734, -0.005132, -0.002734, 1.000000, 3.143877, 0.100000, 0.002566, 3.143877, 0.002566, -0.000317, 0.105165, -0.002850
4179, 41.79, 0.100000, 1.000000, -0.000368, 0.105161, -0.005077, -0.002763, -0.002754, -0.005077, -0.002754, 1.000000, 3.143900, 0.100000, 0.002290, 3.143900, 0.002290, -0.000368, 0.105161, -0.002763
4180, 41.8, 0.100000, 1.000000, -0.000418, 0.105157, -0.005016, -0.002673, -0.002771, -0.005016, -0.002771, 1.000000, 3.143920, 0.100000, 0.002013, 3.143920, 0.002013, -0.000418, 0.105157, -0.002673
4181, 41.81, 0.100000, 1.000000, -0.000468, 0.105152, -0.004949, -0.002580, -0.002785, -0.004949, -0.002785, 1.000000, 3.143938, 0.100000, 0.001735, 3.143938, 0.001735, -0.000468, 0.105152, -0.002580
4182, 41.82, 0.100000, 1.000000, -0.000517, 0.105147, -0.004877, -0.002484, -0.002795, -0.004877, -0.002795, 1.000000, 3.143952, 0.100000, 0.001455, 3.143952, 0.001455, -0.000517, 0.105147, -0.002484
4183, 41.83, 0.100000, 1.000000, -0.000565, 0.105141, -0.004800, -0.002386, -0.002802, -0.004800, -0.002802, 1.000000, 3.143964, 0.100000, 0.001175, 3.143964, 0.001175, -0.000565, 0.105141, -0.002386
4184, 41.84, 0.100000, 1.000000, -0.000612, 0.105135, -0.004717, -0.002286, -0.002806, -0.004717, -0.002806, 1.000000, 3.143973, 0.100000, 0.000894, 3.143973, 0.000894, -0.000612, 0.105135, -0.002286
4185, 41.85, 0.100000, 1.000000, -0.000658, 0.105129, -0.004629, -0.002183, -0.002807, -0.004629, -0.002807, 1.000000, 3.143979, 0.100000, 0.000614, 3.143979, 0.000614, -0.000658, 0.105129, -0.002183
4186, 41.86, 0.100000, 1.000000, -0.000703, 0.105122, -0.004536, -0.002078, -0.002804, -0.004536, -0.002804, 1.000000, 3.143982, 0.100000, 0.000333, 3.143982, 0.000333, -0.000703, 0.105122, -0.002078
4187, 41.87, 0.100000, 1.000000, -0.000748, 0.105114, -0.004438, -0.001971, -0.002798, -0.004438, -0.002798, 1.000000, 3.143983, 0.100000, 0.000053, 3.143983, 0.000053, -0.000748, 0.105114, -0.001971
4188, 41.88, 0.100000, 1.000000, -0.000791, 0.105106, -0.004335, -0.001862, -0.002789, -0.004335, -0.002789, 1.000000, 3.143981, 0.100000, -0.000225, 3.143981, -0.000225, -0.000791, 0.105106, -0.001862
4189, 41.89, 0.100000, 1.000000, -0.000833, 0.105098, -0.004227, -0.001751, -0.002776, -0.004227, -0.002776, 1.000000, 3.143976, 0.100000, -0.000503, 3.143976, -0.000503, -0.000833, 0.105098, -0.001751
4190, 41.9, 0.100000, 1.000000, -0.000874, 0.105089, -0.004115, -0.001638, -0.002760, -0.004115, -0.002760, 1.000000, 3.143968, 0.100000, -0.000779, 3.143968, -0.000779, -0.000874, 0.105089, -0.001638
4191, 41.91, 0.100000, 1.000000, -0.000914, 0.105080, -0.003999, -0.001524, -0.002742, -0.003999, -0.002742, 1.000000, 3.143957, 0.100000, -0.001053, 3.143957, -0.001053, -0.000914, 0.105080, -0.001524
4192, 41.92, 0.100000, 1.000000, -0.000953, 0.105071, -0.003878, -0.001409, -0.002720, -0.003878, -0.002720, 1.000000, 3.143944, 0.100000, -0.001325, 3.143944, -0.001325, -0.000953, 0.105071, -0.001409
4193, 41.93, 0.100000, 1.000000, -0.000991, 0.105061, -0.003753, -0.001292, -0.002695, -0.003753, -0.002695, 1.000000, 3.143928, 0.100000, -0.001595, 3.143928, -0.001595, -0.000991, 0.105061, -0.001292
4194, 41.94, 0.100000, 1.000000, -0.001027, 0.105050, -0.003624, -0.001175, -0.002666, -0.003624, -0.002666, 1.000000, 3.143910, 0.100000, -0.001861, 3.143910, -0.001861, -0.001027, 0.105050, -0.001175
4195, 41.95, 0.100000, 1.000000, -0.001062, 0.105040, -0.003492, -0.001056, -0.002635, -0.003492, -0.002635, 1.000000, 3.143888, 0.100000, -0.002125, 3.143888, -0.002125, -0.001062, 0.105040, -0.001056
4196, 41.96, 0.100000, 1.000000, -0.001096, 0.105029, -0.003356, -0.000936, -0.002601, -0.003356, -0.002601, 1.000000, 3.143864, 0.100000, -0.002385, 3.143864, -0.002385, -0.001096, 0.105029, -0.000936
4197, 41.97, 0.100000, 1.000000, -0.001128, 0.105018, -0.003216, -0.000816, -0.002564, -0.003216, -0.002564, 1.000000, 3.143838, 0.100000, -0.002641, 3.143838, -0.002641, -0.001128, 0.105018, -0.000816
4198, 41.98, 0.100000, 1.000000, -0.001158, 0.105006, -0.003073, -0.000696, -0.002524, -0.003073, -0.002524, 1.000000, 3.143809, 0.100000, -0.002894, 3.143809, -0.002894, -0.001158, 0.105006, -0.000696
4199, 41.99, 0.100000, 1.000000, -0.001188, 0.104994, -0.002927, -0.000575, -0.002482, -0.002927, -0.002482, 1.000000, 3.143778, 0.100000, -0.003142, 3.143778, -0.003142, -0.001188, 0.104994, -0.000575
4200, 42, 0.100000, 1.000000, -0.001215, 0.104982, -0.002778, -0.000453, -0.002436, -0.002778, -0.002436, 1.000000, 3.143744, 0.100000, -0.003386, 3.143744, -0.003386, -0.001215, 0.104982, -0.000453
4201, 42.01, 0.100000, 1.000000, -0.001242, 0.104970, -0.002627, -0.000332, -0.002388, -0.002627, -0.002388, 1.000000, 3.143708, 0.100000, -0.003624, 3.143708, -0.003624, -0.001242, 0.104970, -0.000332
4202, 42.02, 0.100000, 1.000000, -0.001266, 0.104957, -0.002473, -0.000211, -0.002337, -0.002473, -0.002337, 1.000000, 3.143669, 0.100000, -0.003858, 3.143669, -0.003858, -0.001266, 0.104957, -0.000211
4203, 42.03, 0.100000, 1.000000, -0.001290, 0.104944, -0.002316, -0.000089, -0.002284, -0.002316, -0.002284, 1.000000, 3.143628, 0.100000, -0.004087, 3.143628, -0.004087, -0.001290, 0.104944, -0.000089
4204, 42.04, 0.100000, 1.000000, -0.001311, 0.104931, -0.002158, 0.000031, -0.002228, -0.002158, -0.002228, 1.000000, 3.143585, 0.100000, -0.004309, 3.143585, -0.004309, -0.001311, 0.104931, 0.000031
4205, 42.05, 0.100000, 1.000000, -0.001331, 0.104918, -0.001997, 0.000152, -0.002170, -0.001997, -0.002170, 1.000000, 3.143540, 0.100000, -0.004526, 3.143540, -0.004526, -0.001331, 0.104918, 0.000152
4206, 42.06, 0.100000, 1.000000, -0.001350, 0.104904, -0.001835, 0.000271, -0.002110, -0.001835, -0.002110, 1.000000, 3.143492, 0.100000, -0.004737, 3.143492, -0.004737, -0.001350, 0.104904, 0.000271
4207, 42.07, 0.100000, 1.000000, -0.001366, 0.104890, -0.001671, 0.000390, -0.002047, -0.001671, -0.002047, 1.000000, 3.143443, 0.100000, -0.004942, 3.143443, -0.004942, -0.001366, 0.104890, 0.000390
4208, 42.08, 0.100000, 1.000000, -0.001381, 0.104877, -0.001506, 0.000509, -0.001982, -0.001506, -0.001982, 1.000000, 3.143392, 0.100000, -0.005140, 3.143392, -0.005140, -0.001381, 0.104877, 0.000509
4209, 42.09, 0.100000, 1.000000, -0.001395, 0.104863, -0.001340, 0.000626, -0.001915, -0.001340, -0.001915, 1.000000, 3.143338, 0.100000, -0.005332, 3.143338, -0.005332, -0.001395, 0.104863, 0.000626
4210, 42.1, 0.100000, 1.000000, -0.001406, 0.104849, -0.001172, 0.000742, -0.001846, -0.001172, -0.001846, 1.000000, 3.143283, 0.100000, -0.005517, 3.143283, -0.005517, -0.001406, 0.104849, 0.000742
4211, 42.11, 0.100000, 1.000000, -0.001416, 0.104834, -0.001004, 0.000856, -0.001776, -0.001004, -0.001776, 1.000000, 3.143226, 0.100000, -0.005694, 3.143226, -0.005694, -0.001416, 0.104834, 0.000856
4212, 42.12, 0.100000, 1.000000, -0.001425, 0.104820, -0.000836, 0.000970, -0.001703, -0.000836, -0.001703, 1.000000, 3.143167, 0.100000, -0.005864, 3.143167, -0.005864, -0.001425, 0.104820, 0.000970
4213, 42.13, 0.100000, 1.000000, -0.001431, 0.104806, -0.000666, 0.001082, -0.001628, -0.000666, -0.001628, 1.000000, 3.143107, 0.100000, -0.006027, 3.143107, -0.006027, -0.001431, 0.104806, 0.001082
4214, 42.14, 0.100000, 1.000000, -0.001436, 0.104791, -0.000497, 0.001192, -0.001552, -0.000497, -0.001552, 1.000000, 3.143045, 0.100000, -0.006182, 3.143045, -0.006182, -0.001436, 0.104791, 0.001192
4215, 42.15, 0.100000, 1.000000, -0.001440, 0.104777, -0.000328, 0.001300, -0.001475, -0.000328, -0.001475, 1.000000, 3.142982, 0.100000, -0.006330, 3.142982, -0.006330, -0.001440, 0.104777, 0.001300
4216, 42.16, 0.100000, 1.000000, -0.001441, 0.104763, -0.000159, 0.001406, -0.001396, -0.000159, -0.001396, 1.000000, 3.142917, 0.100000, -0.006470, 3.142917, -0.006470, -0.001441, 0.104763, 0.001406
4217, 42.17, 0.100000, 1.000000, -0.001441, 0.104748, 0.000010, 0.001511, -0.001315, 0.000010, -0.001315, 1.000000, 3.142851, 0.100000, -0.006601, 3.142851, -0.006601, -0.001441, 0.104748, 0.001511
4218, 42.18, 0.100000, 1.000000, -0.001439, 0.104734, 0.000178, 0.001613, -0.001234, 0.000178, -0.001234, 1.000000, 3.142784, 0.100000, -0.006724, 3.142784, -0.006724, -0.001439, 0.104734, 0.001613
4219, 42.19, 0.100000, 1.000000, -0.001436, 0.104720, 0.000345, 0.001713, -0.001151, 0.000345, -0.001151, 1.000000, 3.142716, 0.100000, -0.006840, 3.142716, -0.006840, -0.001436, 0.104720, 0.001713
4220, 42.2, 0.100000, 1.000000, -0.001431, 0.104705, 0.000511, 0.001811, -0.001067, 0.000511, -0.001067, 1.000000, 3.142646, 0.100000, -0.006946, 3.142646, -0.006946, -0.001431, 0.104705, 0.001811
4221, 42.21, 0.100000, 1.000000, -0.001424, 0.104691, 0.000676, 0.001906, -0.000983, 0.000676, -0.000983, 1.000000, 3.142576, 0.100000, -0.007045, 3.142576, -0.007045, -0.001424, 0.104691, 0.001906
4222, 42.22, 0.100000, 1.000000, -0.001416, 0.104677, 0.000840, 0.001999, -0.000897, 0.000840, -0.000897, 1.000000, 3.142505, 0.100000, -0.007134, 3.142505, -0.007134, -0.001416, 0.104677, 0.001999
4223, 42.23, 0.100000, 1.000000, -0.001406, 0.104663, 0.001002, 0.002089, -0.000811, 0.001002, -0.000811, 1.000000, 3.142432, 0.100000, -0.007215, 3.142432, -0.007215, -0.001406, 0.104663, 0.002089
4224, 42.24, 0.100000, 1.000000, -0.001394, 0.104649, 0.001162, 0.002176, -0.000724, 0.001162, -0.000724, 1.000000, 3.142359, 0.100000, -0.007288, 3.142359, -0.007288, -0.001394, 0.104649, 0.002176
4225, 42.25, 0.100000, 1.000000, -0.001381, 0.104635, 0.001321, 0.002261, -0.000636, 0.001321, -0.000636, 1.000000, 3.142286, 0.100000, -0.007351, 3.142286, -0.007351, -0.001381, 0.104635, 0.002261
4226, 42.26, 0.100000, 1.000000, -0.001366, 0.104621, 0.001477, 0.002342, -0.000548, 0.001477, -0.000548, 1.000000, 3.142212, 0.100000, -0.007406, 3.142212, -0.007406, -0.001366, 0.104621, 0.002342
